53,313,2,2,74,204,37,37,37.0,0.0,102,102,102.0,0.0,888178.9137,12779.55272,104.3333333,140.2580954,264,1,1,1.0,0.0,1,1,48,48.0,0.0,48,48,0,0,0,0,40,40,6389.776358,6389.776358,37,102,63.0,35.60196624,1267.5,0,0,0,0,0,0,0,0,1,78.75,37.0,102.0,40,0,0,0,0,0,0,2,74,2,204,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,6
53,23608,2,2,64,96,32,32,32.0,0.0,48,48,48.0,0.0,6777.363606,169.4340901,7869.333333,13585.0713,23556,3,49,49.0,0.0,49,49,3,3.0,0.0,3,3,0,0,0,0,40,40,84.71704507,84.71704507,32,48,38.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,48.0,32.0,48.0,40,0,0,0,0,0,0,2,64,2,96,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,6
443,13743761,76,101,5151,183271,784,0,67.77631579,157.3830655,4380,0,1814.564356,870.0250389,13709.63887,12.87857087,78089.55114,766063.8541,9995441,2,3748095,49974.6,238292.6275,2057181,199,13600000,136477.97,1014824.353,9995499,2,0,0,0,0,1532,2032,5.529781841,7.348789025,0,4380,1058.550562,1091.839246,1192112.938,0,0,0,1,0,0,0,0,1,1064.531073,67.77631579,1814.564356,1532,0,0,0,0,0,0,76,5151,101,183271,8192,211,75,20,3748095.0,0.0,3748095,3748095,9995441.0,0.0,9995441,9995441,BENIGN,1
53,23996,2,2,70,102,35,35,35.0,0.0,51,51,51.0,0.0,7167.86131,166.6944491,7998.666667,13773.55671,23903,46,46,46.0,0.0,46,46,47,47.0,0.0,47,47,0,0,0,0,64,64,83.34722454,83.34722454,35,51,41.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,51.75,35.0,51.0,64,0,0,0,0,0,0,2,70,2,102,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,2
443,626098,7,7,1611,3369,950,0,230.1428571429,368.5586468806,1460,0,481.2857142857,620.8026294741,7954.0263664794,22.3607166929,48161.3846153846,128246.225047457,471667,4,601708,100284.666666667,183969.286772186,471667,325,602321,100386.833333333,219789.234804088,548331,4,0,0,0,0,152,152,11.1803583465,11.1803583465,0,1460,332.0,497.5827282257,247588.571428571,0,0,0,1,0,0,0,0,1,355.7142857143,230.1428571429,481.2857142857,152,0,0,0,0,0,0,7,1611,7,3369,8192,63,6,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,3
53,30874,1,1,43,113,43,43,43.0,0.0,113,113,113.0,0.0,5052.7952322343,64.7794260543,30874.0,0.0,30874,30874,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,32,32.3897130271,32.3897130271,43,113,66.3333333333,40.4145188433,1633.3333333333,0,0,0,0,0,0,0,0,1,99.5,43.0,113.0,20,0,0,0,0,0,0,1,43,1,113,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,3
50633,77,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,155844.1558,25974.02597,77.0,0.0,77,77,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,12987.01299,12987.01299,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,70,253,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,5
53,108487,1,1,52,181,52,52,52.0,0.0,181,181,181.0,0.0,2147.7227686267,18.4353885719,108487.0,0.0,108487,108487,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,9.217694286,9.217694286,52,181,95.0,74.4781847255,5547.0,0,0,0,0,0,0,0,0,1,142.5,52.0,181.0,32,0,0,0,0,0,0,1,52,1,181,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,3
80,22377,3,4,26,11601,20,0,8.666666667,10.26320288,8760,0,2900.25,4128.319301,519596.0138,312.8212003,3729.5,6123.186907,14780,1,14991,7495.5,10598.82354,14990,1,22167,7389.0,7417.622463,14880,47,0,0,0,0,72,92,134.0662287,178.7549716,0,8760,1453.375,3113.952607,9696700.839,0,0,0,1,0,0,0,0,1,1661.0,8.666666667,2900.25,72,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS,0
80,47447,3,4,435,870,429,0,145.0,245.9695103,858,0,217.5,427.0093676,27504.3733,147.5330369,7907.833333,11826.95733,23199,1,23457,11728.5,16360.3296,23297,160,24248,8082.666667,13273.64171,23402,1,0,0,0,0,72,92,63.22844437,84.30459249,0,858,163.125,317.9026974,101062.125,0,0,0,1,0,0,0,0,1,186.4285714,145.0,217.5,72,0,0,0,0,0,0,3,435,4,870,8192,31,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,5
